,nsites,formula_pretty,volume,density,symmetry__crystal_system,symmetry__symbol,symmetry__number,symmetry__point_group,symmetry__symprec,symmetry__version,formation_energy_per_atom,energy_above_hull,is_stable,band_gap,is_gap_direct,is_metal,ordering,total_magnetization,universal_anisotropy,theoretical,compounds_contain,compounds_contain_count
185,94,Ti17(NO4)6,1113.4298847225614,3.823178367667191,Monoclinic,P2_1/m,11,2/m,0.1,2.0.2,-3.048846443120567,0.0394058567021264,False,0.0,False,True,NM,0.0088433,,True,Ti O N,3
186,94,Ti17(NO4)6,1114.098314532874,3.820884560776223,Triclinic,P-1,2,-1,0.1,2.0.2,-3.051899050567376,0.0363532492553186,False,0.0,False,True,NM,0.7525406,,True,Ti O N,3
187,40,Ti2N2O,428.24679072968144,4.334977416866435,Triclinic,P1,1,1,0.1,2.0.2,1.064771451416665,3.2539951659999997,False,0.0083000000000001,False,False,NM,5.79e-05,,True,Ti O N,3
188,40,Ti2N2O,427.74845100012567,4.340027795116784,Triclinic,P1,1,1,0.1,2.0.2,0.8629643526666655,3.0521880672499995,False,0.0,False,True,NM,0.0003138,,True,Ti O N,3
189,40,Ti2N2O,428.69869567307927,4.330407779160576,Triclinic,P1,1,1,0.1,2.0.2,0.6695872571666655,2.85881097175,False,0.0,False,True,NM,0.0477997,,True,Ti O N,3
190,40,Ti2N2O,428.0971979222619,4.33649221641438,Triclinic,P1,1,1,0.1,2.0.2,0.922270746416666,3.1114944610000004,False,0.0,False,True,NM,0.0019192,,True,Ti O N,3
191,40,Ti2N2O,427.8736235172078,4.338758139373914,Triclinic,P1,1,1,0.1,2.0.2,-2.1261810915833337,0.0630426230000011,False,0.9375999999999998,True,False,NM,0.0001876,,True,Ti O N,3
192,40,Ti2N2O,428.24678886043125,4.334977435788135,Triclinic,P1,1,1,0.1,2.0.2,-2.1290360653333336,0.0601876492500004,False,0.9737,True,False,NM,7.15e-05,,True,Ti O N,3
193,40,Ti2N2O,427.7516290164553,4.339995550519059,Triclinic,P1,1,1,0.1,2.0.2,-2.1281026033333346,0.0611211112499994,False,0.9763000000000002,True,False,NM,0.0006306,,True,Ti O N,3
194,40,Ti2N2O,428.39215145055744,4.333506485524291,Triclinic,P1,1,1,0.1,2.0.2,-2.1286687925833334,0.0605549220000014,False,1.0598999999999998,True,False,NM,1.12e-05,,True,Ti O N,3
195,40,Ti2N2O,427.9066118262699,4.338423654487512,Triclinic,P1,1,1,0.1,2.0.2,-2.1317808373333333,0.0574428772500006,False,1.0034,True,False,NM,0.0004536,,True,Ti O N,3
196,40,Ti2N2O,428.030915606327,4.337163739747526,Triclinic,P1,1,1,0.1,2.0.2,-2.1274805320833337,0.0617431825000007,False,0.9256000000000002,True,False,NM,0.0002475,,True,Ti O N,3
197,40,Ti2N2O,428.0972573191804,4.336491614742049,Triclinic,P1,1,1,0.1,2.0.2,-2.1325032420833336,0.0567204725000003,False,0.9356,True,False,NM,0.0004333,,True,Ti O N,3
198,40,Ti2N2O,428.6986987994876,4.330407747579835,Triclinic,P1,1,1,0.1,2.0.2,-2.128098340583334,0.0611253739999995,False,0.9964000000000004,True,False,NM,0.0005379,,True,Ti O N,3
199,40,Ti2N2O,428.0099068537555,4.337376628277467,Triclinic,P1,1,1,0.1,2.0.2,-2.1257639550833347,0.0634597594999988,False,0.9614000000000004,False,False,NM,0.0003517,,True,Ti O N,3
200,40,Ti2N2O,427.7484500503313,4.340027804753602,Triclinic,P1,1,1,0.1,2.0.2,-2.127682320833334,0.0615413937499997,False,0.9129999999999994,True,False,NM,3.1e-06,,True,Ti O N,3
201,40,Ti2N2O,428.0241040985984,4.337232760683616,Triclinic,P1,1,1,0.1,2.0.2,-2.1303066805833337,0.0589170340000002,False,0.939,True,False,NM,0.0002521,,True,Ti O N,3
202,20,Ti2N2O,225.85159494051177,4.109867293936252,Monoclinic,C2/m,12,2/m,0.1,2.0.2,-2.1106568768333345,0.0785668377499995,False,0.2989999999999995,False,False,NM,0.0001273,,True,Ti O N,3
203,40,Ti2N2O,427.7485068018781,4.340027228940273,Triclinic,P1,1,1,0.1,2.0.2,1.1672120559166657,3.3564357705,False,0.0,False,True,FM,0.0887525,,True,Ti O N,3
204,40,Ti2N2O,428.8042699318119,4.329341606029026,Triclinic,P1,1,1,0.1,2.0.2,-2.1292482858333344,0.0599754287500005,False,1.0337999999999994,False,False,NM,0.000701,,True,Ti O N,3
205,40,Ti2N2O,428.0971979222619,4.33649221641438,Triclinic,P1,1,1,0.1,2.0.2,1.4669437426666654,3.65616745725,False,0.0,False,True,FM,1.9968658,,True,Ti O N,3
206,40,Ti2N2O,428.69869567307927,4.330407779160576,Triclinic,P1,1,1,0.1,2.0.2,1.0219174036666658,3.21114111825,False,0.0,False,True,FM,2.0797088,,True,Ti O N,3
207,16,Ti3N2O3,183.04870438472415,3.9844619828735817,Monoclinic,Cm,8,m,0.1,2.0.2,-2.6732609465625004,0.0094489901562493,False,1.5473,False,False,NM,1e-07,,True,Ti O N,3
208,16,Ti3N2O3,188.52200149115524,3.8687824119532097,Orthorhombic,Cmc2_1,36,mm2,0.1,2.0.2,-2.6265333834375006,0.056176553281249,False,1.4504,False,False,NM,5.3e-06,,True,Ti O N,3
209,16,Ti3N2O3,183.6151749359325,3.972169532772469,Orthorhombic,Cmcm,63,mmm,0.1,2.0.2,-2.6709437553125,0.0117661814062497,False,1.4486999999999997,False,False,NM,0.0,,True,Ti O N,3
210,16,Ti3N2O3,187.9741667808656,3.880057649014358,Monoclinic,Cm,8,m,0.1,2.0.2,-2.649611697187501,0.0330982395312489,False,1.4284000000000003,False,False,NM,0.0033464,,True,Ti O N,3
211,16,Ti3NO4,185.9074083721092,3.958790682284827,Orthorhombic,Cmcm,63,mmm,0.1,2.0.2,-3.064016428125001,0.0389019781249988,False,0.0,False,True,NM,0.0002713,0.372,True,Ti O N,3
